"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Scenario-Driven Testing","0","Declarative Scenarios","8","0","","0"
"0","Playwright Testing","0","Search","4","0","Multiple Searches","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Error Handling","0"
"0","Playwright Testing","0","Page Object Model","1","0","Search Functionality","0"
"0","Example Domain Testing","0","AI-Generated Test Scenarios","1","0","Accessibility Analysis","0"
"0","Playwright Testing","0","Homepage","1","0","Navigation","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Responsive Design","0"
"0","Playwright Testing","0","Search","2","0","Search Functionality","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Navigation","0"
"0","Playwright Testing","0","Navigation","2","0","Documentation Navigation","0"
"0","Example Domain Testing","0","AI-Generated Test Scenarios","1","0","User Journey","0"
"0","Playwright Testing","0","Data Factories","1","0","Form Factory","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Performance","0"
"0","Playwright Testing","0","Data Factories","1","0","User Factory","0"
"0","Playwright Testing","0","Page Object Model","1","0","Homepage Navigation","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Accessibility","0"
"0","Example Domain Testing","0","AI-Generated Test Scenarios","1","0","Performance Analysis","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Basic Functionality","0"
"0","Example Domain Testing","0","Website Structure and Functionality","1","0","Content","0"
"0","Playwright Testing","0","Navigation","1","0","Basic Navigation","0"
"0","Playwright Testing","0","Search","2","0","Data-Driven Testing","0"
"0","Playwright Testing","0","Page Object Model","1","0","Documentation Navigation","0"
"0","Playwright Testing","0","Utilities","1","0","Helper Functions","0"
