"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify semantic structure and keyboard focus","71","Scenario: Example Domain Accessibility","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Open search and verify query entry","375","Scenario: Playwright Search Flow","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test error handling and edge case scenarios","113","Error Handling and Edge Cases","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Test multiple search queries using Page Object Model","412","Multiple Search Queries with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Test navigation to documentation page using base URL","533","Documentation Navigation Test","tests","2026-09-19","passed","2026-09-19","TestExample","test_example","",""
"Test navigation elements and link functionality","119","Navigation and Link Functionality","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Verify page remains usable across viewport sizes","73","Scenario: Example Domain Responsive Layout","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test documentation navigation using Page Object Model with base URL","389","Documentation Navigation Page Object Test","tests","2026-09-19","passed","2026-09-19","TestPageObjectModel","test_page_objects","",""
"Demonstrate user factory usage","1","User Factory Demo","tests","2026-09-19","passed","2026-09-19","TestDataDriven","test_with_data_driven","",""
"Verify Playwright.dev homepage loads and shows current hero content","215","Scenario: Playwright Homepage Smoke","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test page performance and loading metrics","577","Performance and Loading Metrics","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Demonstrate timestamp utility usage","1","Timestamp Utility Demo","tests","2026-09-19","passed","2026-09-19","TestDataDriven","test_with_data_driven","",""
"Verify example.com loads with current IANA content","77","Scenario: Example Domain Smoke","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test basic navigation to Playwright website using Page Object Model","234","Homepage Navigation with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Test multiple search queries using Page Object Model","415","Multiple Search Queries with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Test search functionality on Playwright website using base URL","539","Search Functionality Test","tests","2026-09-19","passed","2026-09-19","TestExample","test_example","",""
"Test search functionality using Page Object Model with base URL","408","Search Page Object Test","tests","2026-09-19","passed","2026-09-19","TestPageObjectModel","test_page_objects","",""
"Verify page reload completes within threshold","581","Scenario: Example Domain Performance","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Read content and follow Learn more link to IANA","432","Scenario: Example Domain User Journey","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test basic navigation to Playwright website using base URL","368","Basic Navigation Test","tests","2026-09-19","passed","2026-09-19","TestExample","test_example","",""
"Performance analysis and optimization recommendations","570","AI-Generated Performance Analysis","tests","2026-09-19","passed","2026-09-19","TestExampleDomainAIGenerated","test_example_comprehensive","",""
"Test search functionality using Page Object Model","405","Search Functionality with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Test search using data from JSON fixture","864","Search with Test Data","tests","2026-09-19","passed","2026-09-19","TestDataDriven","test_with_data_driven","",""
"Demonstrate form factory usage","0","Form Factory Demo","tests","2026-09-19","passed","2026-09-19","TestDataDriven","test_with_data_driven","",""
"Test complete user journey as identified by AI analysis","496","AI-Generated User Journey Testing","tests","2026-09-19","passed","2026-09-19","TestExampleDomainAIGenerated","test_example_comprehensive","",""
"Test basic website loading and structure using accessibility-first locators","87","Website Loading and Basic Structure","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Test search using JSON test data","628","Search with JSON Test Data","tests","2026-09-19","passed","2026-09-19","TestDataDriven","test_with_data_driven","",""
"Test using Page Object Model pattern with base URL","221","Homepage Page Object Test","tests","2026-09-19","passed","2026-09-19","TestPageObjectModel","test_page_objects","",""
"Test multiple search queries using Page Object Model","409","Multiple Search Queries with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Navigate from homepage to documentation intro","442","Scenario: Playwright Docs Navigation","tests","2026-09-19","passed","2026-09-19","TestDeclarativeScenarios","test_scenarios","",""
"Test navigation to documentation page using Page Object Model","365","Documentation Navigation with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
"Test responsive design at different viewport sizes","99","Responsive Design and Viewport Testing","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Test accessibility requirements and semantic HTML structure","44","Accessibility and Semantic Structure","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Test content accuracy and text analysis","31","Content Verification and Text Analysis","tests","2026-09-19","passed","2026-09-19","TestExampleDomainComprehensive","test_example_comprehensive","",""
"Comprehensive accessibility analysis generated by AI","68","AI-Generated Accessibility Analysis","tests","2026-09-19","passed","2026-09-19","TestExampleDomainAIGenerated","test_example_comprehensive","",""
"Test multiple search queries using Page Object Model","402","Multiple Search Queries with POM","tests","2026-09-19","passed","2026-09-19","TestHomepageWithPOM","test_homepage_with_pom","",""
